Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-08-24 06:00:00,11.700000000000001,-64.8,25,1007
2021-08-24 12:00:00,12.0,-66.5,31,1009
2021-08-24 18:00:00,11.8,-69.2,32,1005
2021-08-25 00:00:00,11.3,-71.7,32,1005
2021-08-25 06:00:00,12.200000000000001,-73.0,32,1005
2021-08-25 12:00:00,13.0,-74.10000000000001,30,1004
2021-08-25 18:00:00,14.0,-75.10000000000001,32,1004
2021-08-26 00:00:00,14.700000000000001,-76.2,36,1006
2021-08-26 06:00:00,15.200000000000001,-77.10000000000001,37,1006
2021-08-26 12:00:00,15.600000000000001,-78.7,37,1005
2021-08-26 18:00:00,15.8,-80.0,36,1005
2021-08-27 00:00:00,16.1,-80.80000000000001,34,1004
2021-08-27 06:00:00,16.900000000000002,-81.7,39,1001
2021-08-27 12:00:00,17.1,-83.10000000000001,41,1003
2021-08-27 18:00:00,17.0,-83.60000000000001,36,1003
2021-08-28 00:00:00,17.7,-84.4,37,1003
2021-08-28 06:00:00,18.400000000000002,-85.9,38,1003
2021-08-28 12:00:00,18.6,-86.4,39,1001
