Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-08-24 06:00:00,11.700000000000001,-64.8,25,1007
2021-08-24 12:00:00,12.0,-66.5,31,1009
2021-08-24 18:00:00,11.8,-68.9,28,1004
2021-08-25 00:00:00,11.3,-71.8,31,1005
2021-08-25 06:00:00,11.5,-73.4,32,1006
2021-08-25 12:00:00,12.3,-74.5,27,1007
2021-08-25 18:00:00,13.4,-75.4,30,1006
2021-08-26 00:00:00,14.4,-76.3,32,1005
2021-08-26 06:00:00,15.3,-76.80000000000001,32,1005
2021-08-26 12:00:00,16.400000000000002,-78.0,34,1005
2021-08-26 18:00:00,16.8,-78.9,34,1004
2021-08-27 00:00:00,17.8,-79.80000000000001,42,1002
2021-08-27 06:00:00,18.7,-80.9,47,1000
2021-08-27 12:00:00,19.900000000000002,-81.80000000000001,57,993
2021-08-27 18:00:00,21.1,-83.10000000000001,56,993
2021-08-28 00:00:00,22.1,-84.2,49,992
2021-08-28 06:00:00,23.400000000000002,-85.4,58,989
2021-08-28 12:00:00,24.700000000000003,-86.60000000000001,62,986
