Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-08-24 06:00:00,11.700000000000001,-64.8,25,1007
2021-08-24 12:00:00,12.0,-66.5,31,1009
2021-08-24 18:00:00,11.8,-69.2,32,1005
2021-08-25 00:00:00,11.600000000000001,-70.7,33,1005
2021-08-25 06:00:00,11.100000000000001,-70.9,26,1004
2021-08-25 12:00:00,12.5,-71.9,33,1002
2021-08-25 18:00:00,13.600000000000001,-73.10000000000001,34,1006
2021-08-26 00:00:00,14.5,-74.2,31,1007
2021-08-26 06:00:00,15.4,-75.5,36,1005
2021-08-26 12:00:00,15.9,-76.9,38,1006
2021-08-26 18:00:00,16.3,-78.30000000000001,37,1002
2021-08-27 00:00:00,16.7,-79.5,34,1005
2021-08-27 06:00:00,17.400000000000002,-80.4,39,1001
2021-08-27 12:00:00,18.3,-81.60000000000001,44,1001
2021-08-27 18:00:00,19.1,-83.10000000000001,44,1001
2021-08-28 00:00:00,19.5,-84.30000000000001,49,999
2021-08-28 06:00:00,20.1,-85.5,51,997
2021-08-28 12:00:00,21.1,-86.80000000000001,59,989
