Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-08-24 06:00:00,11.700000000000001,-64.9,25,1007
2021-08-24 12:00:00,11.9,-66.60000000000001,27,1008
2021-08-24 18:00:00,11.9,-69.3,24,1005
2021-08-25 00:00:00,11.9,-71.5,28,1006
2021-08-25 06:00:00,11.8,-73.2,30,1005
2021-08-25 12:00:00,12.700000000000001,-74.60000000000001,33,1002
2021-08-25 18:00:00,13.4,-75.5,33,1005
2021-08-26 00:00:00,13.700000000000001,-76.2,29,1006
2021-08-26 06:00:00,14.8,-77.4,35,1002
2021-08-26 12:00:00,15.700000000000001,-79.0,46,1003
2021-08-26 18:00:00,15.8,-80.7,37,1003
2021-08-27 00:00:00,15.700000000000001,-82.2,34,1003
2021-08-27 06:00:00,15.200000000000001,-83.10000000000001,33,1002
2021-08-27 12:00:00,14.700000000000001,-82.9,40,1003
2021-08-27 18:00:00,16.0,-83.2,39,1002
2021-08-28 00:00:00,17.400000000000002,-84.60000000000001,39,1001
2021-08-28 06:00:00,18.1,-85.60000000000001,47,998
2021-08-28 12:00:00,18.900000000000002,-86.7,47,995
