Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-08-24 06:00:00,11.700000000000001,-64.8,25,1007
2021-08-24 12:00:00,12.0,-66.5,31,1009
2021-08-24 18:00:00,11.8,-69.2,32,1005
2021-08-25 00:00:00,11.5,-71.60000000000001,29,1005
2021-08-25 06:00:00,11.600000000000001,-72.4,31,1005
2021-08-25 12:00:00,12.8,-73.3,30,1006
2021-08-25 18:00:00,13.100000000000001,-73.9,32,1005
2021-08-26 00:00:00,13.9,-74.9,28,1004
2021-08-26 06:00:00,14.9,-75.8,37,1006
2021-08-26 12:00:00,15.600000000000001,-76.60000000000001,34,1007
2021-08-26 18:00:00,16.2,-77.9,37,1005
2021-08-27 00:00:00,16.6,-79.7,37,1005
2021-08-27 06:00:00,17.5,-81.2,37,1005
2021-08-27 12:00:00,17.6,-82.30000000000001,38,1004
2021-08-27 18:00:00,17.900000000000002,-83.7,36,1004
2021-08-28 00:00:00,17.900000000000002,-84.60000000000001,39,1002
2021-08-28 06:00:00,18.1,-85.5,43,1003
2021-08-28 12:00:00,18.3,-86.0,39,1002
