Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-08-24 06:00:00,11.700000000000001,-64.9,25,1007
2021-08-24 12:00:00,11.9,-66.60000000000001,27,1008
2021-08-24 18:00:00,11.9,-69.3,24,1005
2021-08-25 00:00:00,12.600000000000001,-71.8,26,1005
2021-08-25 06:00:00,12.4,-73.0,28,1006
2021-08-25 12:00:00,12.5,-74.3,25,1006
2021-08-25 18:00:00,13.5,-75.8,35,1004
2021-08-26 00:00:00,14.0,-76.3,31,1006
2021-08-26 06:00:00,14.4,-76.9,31,1004
2021-08-26 12:00:00,15.3,-77.60000000000001,36,1004
2021-08-26 18:00:00,16.400000000000002,-79.2,41,1004
2021-08-27 00:00:00,17.3,-80.4,38,1003
2021-08-27 06:00:00,18.1,-81.7,43,1001
2021-08-27 12:00:00,19.1,-83.30000000000001,45,1000
2021-08-27 18:00:00,20.0,-84.5,52,996
2021-08-28 00:00:00,20.5,-85.7,50,995
2021-08-28 06:00:00,21.6,-86.80000000000001,66,991
2021-08-28 12:00:00,22.8,-88.0,66,986
