Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-08-24 06:00:00,11.700000000000001,-64.8,25,1007
2021-08-24 12:00:00,12.0,-66.5,31,1009
2021-08-24 18:00:00,11.8,-69.2,32,1005
2021-08-25 00:00:00,11.3,-71.7,31,1005
2021-08-25 06:00:00,12.3,-73.0,35,1005
2021-08-25 12:00:00,13.100000000000001,-74.60000000000001,33,1006
2021-08-25 18:00:00,13.700000000000001,-75.7,34,1006
2021-08-26 00:00:00,14.100000000000001,-76.5,33,1003
2021-08-26 06:00:00,15.0,-77.4,43,1002
2021-08-26 12:00:00,15.9,-78.4,42,1000
2021-08-26 18:00:00,16.6,-79.9,41,1002
2021-08-27 00:00:00,17.0,-81.0,39,1000
2021-08-27 06:00:00,17.7,-82.0,45,996
2021-08-27 12:00:00,18.6,-83.30000000000001,54,990
2021-08-27 18:00:00,19.5,-84.5,59,987
2021-08-28 00:00:00,20.3,-85.9,65,981
2021-08-28 06:00:00,21.1,-87.30000000000001,52,981
2021-08-28 12:00:00,21.900000000000002,-88.80000000000001,71,982
