Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-08-24 06:00:00,11.700000000000001,-64.9,25,1007
2021-08-24 12:00:00,11.9,-66.60000000000001,27,1008
2021-08-24 18:00:00,11.9,-69.3,24,1005
2021-08-25 00:00:00,12.200000000000001,-72.0,27,1006
2021-08-25 06:00:00,12.3,-73.8,26,1005
2021-08-25 12:00:00,12.600000000000001,-74.8,24,1005
2021-08-25 18:00:00,13.5,-76.2,34,1005
2021-08-26 00:00:00,14.0,-77.2,32,1006
2021-08-26 06:00:00,14.600000000000001,-77.9,35,1006
2021-08-26 12:00:00,15.100000000000001,-79.0,31,1005
2021-08-26 18:00:00,15.600000000000001,-80.4,35,1005
2021-08-27 00:00:00,16.0,-81.2,36,1004
2021-08-27 06:00:00,17.0,-82.4,38,1003
2021-08-27 12:00:00,17.7,-84.0,42,1001
2021-08-27 18:00:00,18.1,-85.4,41,1000
2021-08-28 00:00:00,18.2,-86.4,39,999
2021-08-28 06:00:00,18.6,-86.4,46,992
2021-08-28 12:00:00,19.6,-87.5,47,995
