Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-08-24 06:00:00,11.700000000000001,-64.8,25,1007
2021-08-24 12:00:00,12.0,-66.5,31,1009
2021-08-24 18:00:00,11.8,-69.2,32,1005
2021-08-25 00:00:00,11.8,-71.9,31,1005
2021-08-25 06:00:00,11.8,-72.9,30,1003
2021-08-25 12:00:00,12.700000000000001,-74.3,34,1005
2021-08-25 18:00:00,14.100000000000001,-75.5,31,1007
2021-08-26 00:00:00,14.700000000000001,-76.4,34,1003
2021-08-26 06:00:00,15.3,-77.5,38,1004
2021-08-26 12:00:00,16.0,-78.5,35,1001
2021-08-26 18:00:00,16.8,-79.2,38,1002
2021-08-27 00:00:00,17.900000000000002,-80.2,43,1000
2021-08-27 06:00:00,18.900000000000002,-81.4,47,998
2021-08-27 12:00:00,20.0,-82.5,54,992
2021-08-27 18:00:00,20.900000000000002,-83.7,58,988
2021-08-28 00:00:00,22.0,-84.80000000000001,67,986
2021-08-28 06:00:00,23.1,-86.0,69,980
2021-08-28 12:00:00,24.200000000000003,-87.10000000000001,79,976
