Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-08-24 06:00:00,11.700000000000001,-64.9,25,1007
2021-08-24 12:00:00,11.9,-66.60000000000001,27,1008
2021-08-24 18:00:00,11.9,-69.3,24,1005
2021-08-25 00:00:00,12.3,-72.10000000000001,28,1004
2021-08-25 06:00:00,12.9,-73.2,30,1004
2021-08-25 12:00:00,13.0,-74.2,38,1003
2021-08-25 18:00:00,13.700000000000001,-75.3,31,1005
2021-08-26 00:00:00,14.4,-76.2,34,1005
2021-08-26 06:00:00,14.9,-77.60000000000001,39,1004
2021-08-26 12:00:00,15.600000000000001,-79.10000000000001,42,1005
2021-08-26 18:00:00,16.2,-80.60000000000001,42,1000
2021-08-27 00:00:00,15.9,-82.0,35,1004
2021-08-27 06:00:00,15.4,-83.0,31,1002
2021-08-27 12:00:00,14.8,-83.2,36,1003
2021-08-27 18:00:00,15.8,-83.2,43,1003
2021-08-28 00:00:00,17.0,-84.7,40,1003
2021-08-28 06:00:00,17.7,-85.9,47,1002
2021-08-28 12:00:00,18.6,-87.0,46,999
