Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-08-24 06:00:00,11.700000000000001,-64.9,25,1007
2021-08-24 12:00:00,11.9,-66.60000000000001,27,1008
2021-08-24 18:00:00,11.9,-69.3,24,1005
2021-08-25 00:00:00,12.4,-71.9,28,1006
2021-08-25 06:00:00,12.3,-73.4,27,1005
2021-08-25 12:00:00,12.4,-74.7,26,1004
2021-08-25 18:00:00,13.5,-76.0,35,1005
2021-08-26 00:00:00,14.0,-77.0,34,1006
2021-08-26 06:00:00,14.700000000000001,-77.80000000000001,37,1006
2021-08-26 12:00:00,15.5,-78.80000000000001,34,1004
2021-08-26 18:00:00,16.2,-80.2,37,1003
2021-08-27 00:00:00,16.3,-81.60000000000001,38,1003
2021-08-27 06:00:00,16.900000000000002,-82.60000000000001,40,1001
2021-08-27 12:00:00,17.900000000000002,-83.80000000000001,49,998
2021-08-27 18:00:00,18.5,-84.7,45,997
2021-08-28 00:00:00,19.6,-85.9,58,988
2021-08-28 06:00:00,20.200000000000003,-87.10000000000001,54,990
2021-08-28 12:00:00,21.0,-88.10000000000001,46,992
