Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-08-28 12:00:00,14.3,-51.5,27,1011
2021-08-28 18:00:00,15.3,-52.1,31,1007
2021-08-29 00:00:00,15.8,-52.2,33,1007
2021-08-29 06:00:00,16.8,-51.300000000000004,45,1006
2021-08-29 12:00:00,17.6,-51.300000000000004,35,1005
2021-08-29 18:00:00,18.1,-51.300000000000004,35,1005
2021-08-30 00:00:00,18.7,-51.300000000000004,31,1006
2021-08-30 06:00:00,18.900000000000002,-51.300000000000004,29,1004
2021-08-30 12:00:00,19.200000000000003,-51.2,31,1005
2021-08-30 18:00:00,19.5,-50.900000000000006,32,1003
2021-08-31 00:00:00,19.8,-50.5,40,1005
