Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-08-28 12:00:00,14.3,-51.5,27,1011
2021-08-28 18:00:00,15.3,-52.1,31,1007
2021-08-29 00:00:00,15.8,-52.2,32,1007
2021-08-29 06:00:00,16.3,-52.0,32,1007
2021-08-29 12:00:00,17.400000000000002,-51.7,35,1008
2021-08-29 18:00:00,18.5,-51.6,32,1005
2021-08-30 00:00:00,19.5,-51.5,40,1007
2021-08-30 06:00:00,20.3,-51.5,38,1003
2021-08-30 12:00:00,21.1,-51.300000000000004,44,1002
2021-08-30 18:00:00,21.8,-50.900000000000006,42,1005
2021-08-31 00:00:00,22.6,-50.400000000000006,42,1009
