Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-08-28 12:00:00,14.3,-51.5,27,1011
2021-08-28 18:00:00,15.3,-52.1,31,1007
2021-08-29 00:00:00,15.9,-52.1,35,1007
2021-08-29 06:00:00,16.2,-52.0,36,1007
2021-08-29 12:00:00,17.400000000000002,-51.900000000000006,38,1006
2021-08-29 18:00:00,18.400000000000002,-51.900000000000006,30,1005
2021-08-30 00:00:00,19.1,-51.800000000000004,37,1007
2021-08-30 06:00:00,20.1,-51.800000000000004,42,1002
2021-08-30 12:00:00,20.8,-51.6,43,1002
2021-08-30 18:00:00,21.5,-51.1,46,1001
2021-08-31 00:00:00,22.1,-50.7,36,1010
