Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-08-28 12:00:00,14.3,-51.5,27,1011
2021-08-28 18:00:00,15.3,-52.1,31,1007
2021-08-29 00:00:00,16.1,-53.0,46,1009
2021-08-29 06:00:00,16.900000000000002,-52.6,29,1010
2021-08-29 12:00:00,17.6,-52.6,26,1011
2021-08-29 18:00:00,17.7,-53.400000000000006,24,1010
2021-08-30 00:00:00,18.7,-53.0,28,1012
2021-08-30 06:00:00,19.1,-52.800000000000004,27,1009
2021-08-30 12:00:00,19.8,-52.800000000000004,24,1011
2021-08-30 18:00:00,20.700000000000003,-52.6,24,1010
2021-08-31 00:00:00,21.3,-52.5,20,1012
