Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-09-04 12:00:00,16.5,-45.300000000000004,76,966
2021-09-04 18:00:00,17.1,-46.5,81,965
2021-09-05 00:00:00,17.900000000000002,-47.6,78,966
2021-09-05 06:00:00,18.6,-48.7,85,966
2021-09-05 12:00:00,19.400000000000002,-49.800000000000004,83,970
2021-09-05 18:00:00,20.0,-51.0,78,968
2021-09-06 00:00:00,20.700000000000003,-51.900000000000006,83,967
2021-09-06 06:00:00,21.400000000000002,-52.800000000000004,92,965
2021-09-06 12:00:00,21.900000000000002,-53.6,85,968
2021-09-06 18:00:00,22.6,-54.400000000000006,83,968
2021-09-07 00:00:00,23.200000000000003,-55.2,88,967
2021-09-07 06:00:00,23.900000000000002,-56.0,88,962
2021-09-07 12:00:00,24.6,-56.7,84,964
2021-09-07 18:00:00,25.5,-57.400000000000006,91,961
