Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-09-04 12:00:00,16.5,-45.300000000000004,76,966
2021-09-04 18:00:00,17.1,-46.5,81,965
2021-09-05 00:00:00,18.1,-47.6,82,965
2021-09-05 06:00:00,18.7,-48.7,83,966
2021-09-05 12:00:00,19.400000000000002,-49.800000000000004,85,967
2021-09-05 18:00:00,20.0,-51.1,82,965
2021-09-06 00:00:00,20.5,-51.900000000000006,87,963
2021-09-06 06:00:00,21.0,-52.7,89,961
2021-09-06 12:00:00,21.6,-53.400000000000006,94,960
2021-09-06 18:00:00,22.200000000000003,-54.2,97,957
2021-09-07 00:00:00,22.8,-54.900000000000006,103,955
2021-09-07 06:00:00,23.400000000000002,-55.7,100,954
2021-09-07 12:00:00,24.1,-56.400000000000006,95,956
2021-09-07 18:00:00,24.900000000000002,-57.1,97,957
