Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-09-04 12:00:00,16.5,-45.300000000000004,76,966
2021-09-04 18:00:00,17.1,-46.5,81,965
2021-09-05 00:00:00,18.1,-47.6,81,965
2021-09-05 06:00:00,18.8,-48.6,85,966
2021-09-05 12:00:00,19.6,-49.7,82,967
2021-09-05 18:00:00,20.1,-50.6,87,964
2021-09-06 00:00:00,20.6,-51.6,88,964
2021-09-06 06:00:00,21.200000000000003,-52.5,88,963
2021-09-06 12:00:00,21.6,-53.300000000000004,91,965
2021-09-06 18:00:00,22.1,-54.1,91,964
2021-09-07 00:00:00,22.6,-54.900000000000006,96,962
2021-09-07 06:00:00,23.1,-55.800000000000004,97,960
2021-09-07 12:00:00,23.700000000000003,-56.6,93,962
2021-09-07 18:00:00,24.5,-57.300000000000004,86,964
