Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-09-04 12:00:00,16.5,-45.300000000000004,76,966
2021-09-04 18:00:00,17.1,-46.5,81,965
2021-09-05 00:00:00,17.900000000000002,-47.6,85,964
2021-09-05 06:00:00,18.5,-48.6,83,964
2021-09-05 12:00:00,19.200000000000003,-49.400000000000006,88,965
2021-09-05 18:00:00,20.1,-50.6,87,964
2021-09-06 00:00:00,20.700000000000003,-51.6,86,964
2021-09-06 06:00:00,21.200000000000003,-52.5,89,963
2021-09-06 12:00:00,21.6,-53.300000000000004,90,965
2021-09-06 18:00:00,22.200000000000003,-54.1,91,962
2021-09-07 00:00:00,22.700000000000003,-54.800000000000004,96,961
2021-09-07 06:00:00,23.200000000000003,-55.6,95,961
2021-09-07 12:00:00,23.8,-56.5,91,964
2021-09-07 18:00:00,24.5,-57.1,84,966
