Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-09-03 18:00:00,14.700000000000001,-41.400000000000006,61,977
2021-09-04 00:00:00,15.200000000000001,-42.6,75,976
2021-09-04 06:00:00,15.700000000000001,-44.0,70,976
2021-09-04 12:00:00,16.1,-45.2,68,977
2021-09-04 18:00:00,16.7,-46.300000000000004,70,974
2021-09-05 00:00:00,17.5,-47.2,73,973
2021-09-05 06:00:00,18.2,-48.2,80,969
2021-09-05 12:00:00,18.900000000000002,-49.2,83,968
2021-09-05 18:00:00,19.700000000000003,-50.2,84,967
2021-09-06 00:00:00,20.400000000000002,-51.0,82,968
2021-09-06 06:00:00,20.900000000000002,-51.900000000000006,91,965
2021-09-06 12:00:00,21.5,-52.800000000000004,83,969
2021-09-06 18:00:00,22.1,-53.5,87,965
2021-09-07 00:00:00,22.700000000000003,-54.1,93,965
