Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-09-03 18:00:00,14.700000000000001,-41.400000000000006,61,977
2021-09-04 00:00:00,15.200000000000001,-42.6,75,976
2021-09-04 06:00:00,15.700000000000001,-44.0,70,976
2021-09-04 12:00:00,16.1,-45.2,68,977
2021-09-04 18:00:00,16.7,-46.300000000000004,70,974
2021-09-05 00:00:00,17.400000000000002,-46.900000000000006,68,980
2021-09-05 06:00:00,18.400000000000002,-48.1,67,981
2021-09-05 12:00:00,18.900000000000002,-49.5,60,985
2021-09-05 18:00:00,19.400000000000002,-50.800000000000004,74,985
2021-09-06 00:00:00,19.8,-52.0,59,986
2021-09-06 06:00:00,20.1,-53.0,62,984
2021-09-06 12:00:00,20.5,-54.0,68,983
2021-09-06 18:00:00,20.900000000000002,-55.0,76,981
2021-09-07 00:00:00,21.200000000000003,-55.7,71,978
