Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-09-03 18:00:00,14.700000000000001,-41.400000000000006,61,977
2021-09-04 00:00:00,15.200000000000001,-42.6,75,976
2021-09-04 06:00:00,15.700000000000001,-44.0,70,976
2021-09-04 12:00:00,16.1,-45.2,68,977
2021-09-04 18:00:00,16.7,-46.300000000000004,70,974
2021-09-05 00:00:00,17.3,-47.300000000000004,74,974
2021-09-05 06:00:00,18.1,-48.400000000000006,80,973
2021-09-05 12:00:00,18.7,-49.7,80,974
2021-09-05 18:00:00,19.3,-50.900000000000006,84,972
2021-09-06 00:00:00,19.8,-51.800000000000004,80,972
2021-09-06 06:00:00,20.3,-52.7,83,970
2021-09-06 12:00:00,20.8,-53.6,85,969
2021-09-06 18:00:00,21.400000000000002,-54.400000000000006,90,966
2021-09-07 00:00:00,21.900000000000002,-55.1,97,963
