Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-09-03 18:00:00,14.700000000000001,-41.400000000000006,61,977
2021-09-04 00:00:00,15.200000000000001,-42.6,75,976
2021-09-04 06:00:00,15.700000000000001,-43.900000000000006,70,976
2021-09-04 12:00:00,16.2,-45.2,67,978
2021-09-04 18:00:00,16.900000000000002,-46.400000000000006,68,974
2021-09-05 00:00:00,17.7,-47.400000000000006,77,973
2021-09-05 06:00:00,18.400000000000002,-48.5,77,971
2021-09-05 12:00:00,19.0,-49.6,81,971
2021-09-05 18:00:00,19.700000000000003,-50.7,81,970
2021-09-06 00:00:00,20.3,-51.6,83,970
2021-09-06 06:00:00,20.900000000000002,-52.400000000000006,83,968
2021-09-06 12:00:00,21.400000000000002,-53.300000000000004,86,969
2021-09-06 18:00:00,21.900000000000002,-54.1,83,970
2021-09-07 00:00:00,22.400000000000002,-54.800000000000004,85,968
