Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-09-03 18:00:00,14.700000000000001,-41.400000000000006,61,977
2021-09-04 00:00:00,15.200000000000001,-42.6,75,976
2021-09-04 06:00:00,15.700000000000001,-43.900000000000006,70,976
2021-09-04 12:00:00,16.2,-45.2,67,978
2021-09-04 18:00:00,16.900000000000002,-46.400000000000006,68,974
2021-09-05 00:00:00,17.5,-47.300000000000004,72,975
2021-09-05 06:00:00,18.3,-48.1,74,975
2021-09-05 12:00:00,19.0,-49.1,73,976
2021-09-05 18:00:00,19.8,-50.1,71,974
2021-09-06 00:00:00,20.400000000000002,-50.800000000000004,74,975
2021-09-06 06:00:00,21.0,-51.5,71,975
2021-09-06 12:00:00,21.8,-52.2,77,977
2021-09-06 18:00:00,22.6,-53.0,73,976
2021-09-07 00:00:00,23.0,-53.900000000000006,79,977
