Organization,Date_Time,Latitude,Longitude,MSLP (hPa),MWS (Knot)
NHC,2021-08-24 06:00:00,11.8,-64.2,1009,20.0
NHC,2021-08-24 12:00:00,12.0,-66.4,1008,20.0
NHC,2021-08-24 18:00:00,12.1,-68.6,1006,25.0
NHC,2021-08-25 00:00:00,12.3,-70.8,1006,25.0
NHC,2021-08-25 06:00:00,12.5,-73.1,1006,25.0
NHC,2021-08-25 12:00:00,13.1,-74.9,1006,30.0
NHC,2021-08-25 18:00:00,13.5,-76.0,1006,30.0
NHC,2021-08-26 00:00:00,14.0,-77.0,1006,30.0
NHC,2021-08-26 06:00:00,15.2,-78.0,1006,30.0
NHC,2021-08-26 12:00:00,16.4,-79.0,1005,30.0
NHC,2021-08-26 18:00:00,17.5,-79.4,1006,35.0
NHC,2021-08-27 00:00:00,18.0,-80.1,1004,40.0
NHC,2021-08-27 06:00:00,19.5,-80.9,1002,45.0
NHC,2021-08-27 12:00:00,20.4,-81.7, 996,55.0
NHC,2021-08-27 18:00:00,21.6,-82.7, 987,70.0
NHC,2021-08-28 00:00:00,22.5,-83.5, 985,70.0
NHC,2021-08-28 06:00:00,23.5,-84.7, 987,70.0
NHC,2021-08-28 12:00:00,24.4,-85.7, 985,75.0
NHC,2021-08-28 18:00:00,25.6,-86.6, 976,90.0
NHC,2021-08-29 00:00:00,26.7,-87.6, 969,90.0
