Organization,Date_Time,Latitude,Longitude,MSLP (hPa),MWS (Knot)
NHC,2021-08-31 18:00:00,11.2,-20.6,1006.0, 30.0
NHC,2021-09-01 00:00:00,11.9,-22.5,1005.0, 35.0
NHC,2021-09-01 06:00:00,12.2,-24.5,1003.0, 40.0
NHC,2021-09-01 12:00:00,12.4,-26.5,1001.0, 45.0
NHC,2021-09-01 18:00:00,12.5,-28.4, 994.0, 55.0
NHC,2021-09-02 00:00:00,12.7,-30.0, 991.0, 60.0
NHC,2021-09-02 06:00:00,13.0,-31.6, 987.0, 65.0
NHC,2021-09-02 12:00:00,13.3,-33.3, 985.0, 70.0
NHC,2021-09-02 18:00:00,13.6,-35.0, 985.0, 70.0
NHC,2021-09-03 00:00:00,13.9,-36.7, 985.0, 75.0
NHC,2021-09-03 06:00:00,14.1,-38.4, 982.0, 80.0
NHC,2021-09-03 12:00:00,14.4,-40.0, 981.0, 80.0
NHC,2021-09-03 18:00:00,14.7,-41.4, 978.0, 85.0
NHC,2021-09-04 00:00:00,15.2,-42.7, 965.0,100.0
NHC,2021-09-04 06:00:00,15.8,-44.0, 962.0,105.0
NHC,2021-09-04 12:00:00,16.4,-45.3, 958.0,110.0
NHC,2021-09-04 18:00:00,17.0,-46.5, 958.0,110.0
NHC,2021-09-05 00:00:00,17.7,-47.5, 958.0,105.0
NHC,2021-09-05 06:00:00,18.4,-48.5, 958.0,105.0
NHC,2021-09-05 12:00:00,19.1,-49.3, 955.0,110.0
NHC,2021-09-05 18:00:00,20.1,-50.2, 955.0,110.0
NHC,2021-09-06 00:00:00,20.7,-51.0, 955.0,110.0
NHC,2021-09-06 06:00:00,21.4,-51.9, 956.0,105.0
NHC,2021-09-06 12:00:00,21.8,-52.6, 956.0,105.0
NHC,2021-09-06 18:00:00,22.2,-53.5, 956.0,110.0
NHC,2021-09-07 00:00:00,22.7,-54.2, 956.0,110.0
NHC,2021-09-07 06:00:00,23.3,-54.8, 958.0,105.0
NHC,2021-09-07 12:00:00,24.0,-55.4, 964.0,100.0
NHC,2021-09-07 18:00:00,24.7,-56.0, 967.0,100.0
NHC,2021-09-08 00:00:00,25.4,-56.5, 967.0,100.0
NHC,2021-09-08 06:00:00,26.2,-57.1, 967.0,100.0
NHC,2021-09-08 12:00:00,27.2,-57.9, 966.0, 95.0
NHC,2021-09-08 18:00:00,28.2,-58.9, 966.0, 95.0
NHC,2021-09-09 00:00:00,29.1,-59.9, 969.0, 85.0
NHC,2021-09-09 06:00:00,30.2,-60.8, 969.0, 85.0
NHC,2021-09-09 12:00:00,31.3,-61.5, 966.0, 80.0
NHC,2021-09-09 18:00:00,32.8,-62.1, 966.0, 80.0
NHC,2021-09-10 00:00:00,34.4,-62.3, 966.0, 80.0
NHC,2021-09-10 06:00:00,36.5,-62.2, 968.0, 75.0
NHC,2021-09-10 12:00:00,39.0,-61.0, 971.0, 70.0
NHC,2021-09-10 18:00:00,41.9,-59.5, 967.0, 70.0
NHC,2021-09-11 00:00:00,45.2,-56.4, 958.0, 70.0
NHC,2021-09-11 06:00:00,48.8,-53.3, 963.0, 65.0
NHC,2021-09-11 12:00:00,52.5,-49.5, 963.0, 60.0
