Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,66.25870342445536,-2.0,5.0
6.0,10.87652037614571,1.0,11.0
12.0,73.30148969676708,-1.0,7.0
18.0,148.1902999313828,-1.0,7.0
24.0,35.08244820002484,-1.0,7.0
30.0,58.5596955368951,-1.0,2.0
36.0,106.9186086106617,-4.0,1.0
42.0,121.26893192571708,0.0,4.0
48.0,107.30499627011578,-3.0,3.0
54.0,125.95434997441603,0.0,7.0
60.0,94.49730174548195,-2.0,0.0
66.0,56.59715093135199,-2.0,3.0
72.0,126.31807598784613,-3.0,4.0
78.0,108.82814819606116,-4.0,10.0
84.0,145.19362047620345,2.0,-13.0
90.0,152.30638762347914,1.0,-11.0
96.0,162.9309694588826,-2.0,-6.0
102.0,175.57232774275104,-5.0,-11.0
