Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,66.25870342445536,-2.0,5.0
6.0,10.87652037614571,1.0,11.0
12.0,46.66766342361971,-2.0,3.0
18.0,155.59974449881983,-1.0,6.0
24.0,115.8835800276433,0.0,7.0
30.0,98.97386535477683,1.0,-3.0
36.0,65.83305713167275,0.0,0.0
42.0,87.5911932270034,-1.0,2.0
48.0,129.2146770154512,-1.0,2.0
54.0,106.67088978452718,0.0,4.0
60.0,94.23798174406492,-2.0,-1.0
66.0,38.75874408810346,-2.0,2.0
72.0,88.95606697935304,-2.0,2.0
78.0,56.56904540619394,-3.0,2.0
84.0,69.33366203184576,6.0,-14.0
90.0,84.64298516633129,7.0,-21.0
96.0,72.26834440958005,2.0,-12.0
102.0,96.94815913847988,1.0,-13.0
