Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,77.01247725746808,-2.0,5.0
6.0,24.43385558779421,0.0,7.0
12.0,73.30148969676708,-1.0,-1.0
18.0,109.18953557583482,0.0,3.0
24.0,73.21420985786517,-1.0,5.0
30.0,56.644626168682635,-1.0,1.0
36.0,54.64073393175834,-1.0,3.0
42.0,77.50819821275118,1.0,0.0
48.0,96.75407052241322,-5.0,2.0
54.0,67.56699155243875,-1.0,6.0
60.0,200.0866152025268,-2.0,5.0
66.0,323.12831385783113,-2.0,-3.0
72.0,495.1074768783078,0.0,-11.0
78.0,584.4583958721477,6.0,-24.0
84.0,662.8598388684726,16.0,-31.0
90.0,669.2231897528951,17.0,-31.0
96.0,567.5703924684308,13.0,-23.0
102.0,574.4140741294882,12.0,-27.0
