Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,77.01247725746808,-2.0,5.0
6.0,24.43385558779421,0.0,7.0
12.0,83.13576514856392,-1.0,-1.0
18.0,141.23532629491382,0.0,3.0
24.0,73.21420985786517,-1.0,2.0
30.0,84.36293396373749,-1.0,-5.0
36.0,24.311894784648054,0.0,-1.0
42.0,24.72006849340624,0.0,4.0
48.0,67.57686000621473,-1.0,5.0
54.0,144.94920892113205,-1.0,1.0
60.0,227.8278739145724,-1.0,-1.0
66.0,261.84801701602794,0.0,-4.0
72.0,339.48499770122186,1.0,-1.0
78.0,384.9839038489416,6.0,-11.0
84.0,456.60643497671276,11.0,-27.0
90.0,510.1729204327123,12.0,-28.0
96.0,516.5558573325599,8.0,-21.0
102.0,512.746511026326,4.0,-24.0
