Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,66.25870342445536,-2.0,5.0
6.0,10.87652037614571,1.0,11.0
12.0,31.1089711589465,-1.0,4.0
18.0,126.59962919308953,0.0,4.0
24.0,134.7620591187178,0.0,3.0
30.0,164.87117194281524,-3.0,0.0
36.0,100.6601079540716,1.0,-1.0
42.0,80.78089721719054,1.0,-2.0
48.0,185.8827959238964,-2.0,0.0
54.0,190.24182206813686,-1.0,2.0
60.0,259.08429160460537,0.0,-1.0
66.0,295.8594553843672,1.0,-8.0
72.0,444.9691714698506,1.0,-11.0
78.0,532.4556153890802,7.0,-18.0
