Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,66.25870342445536,-2.0,5.0
6.0,10.87652037614571,1.0,11.0
12.0,73.30148969676708,-1.0,7.0
18.0,78.5930701906915,-1.0,8.0
24.0,285.60718654148604,-2.0,1.0
30.0,323.99914096255856,-4.0,4.0
36.0,309.6289847803033,1.0,2.0
42.0,238.27978937862127,-2.0,1.0
48.0,141.19237884519055,1.0,1.0
54.0,153.1310691994692,2.0,3.0
60.0,158.54651203334257,1.0,-2.0
66.0,115.08308349323099,3.0,-9.0
72.0,135.0826383754348,4.0,-12.0
78.0,135.0646573998656,10.0,-20.0
84.0,196.05040880320485,19.0,-30.0
90.0,206.7180534244052,19.0,-27.0
96.0,217.41991803350334,15.0,-25.0
102.0,185.06244567989737,12.0,-19.0
