Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,77.01247725746808,-2.0,5.0
6.0,24.43385558779421,0.0,7.0
12.0,79.3170864825085,-1.0,-1.0
18.0,88.15091566968856,0.0,3.0
24.0,78.59194897495567,-1.0,5.0
30.0,55.0964551818625,-4.0,3.0
36.0,55.20413614611671,-1.0,3.0
42.0,92.58777140866592,0.0,-1.0
48.0,78.30239912705898,-4.0,5.0
54.0,77.83655860693372,-2.0,16.0
60.0,234.33179795374926,-3.0,2.0
66.0,339.62279069570724,-1.0,-6.0
72.0,532.0759009550354,0.0,-12.0
78.0,646.4410075440203,7.0,-15.0
84.0,624.9103915397726,15.0,-31.0
90.0,578.62214109174,16.0,-31.0
96.0,607.6900886077275,11.0,-23.0
102.0,620.234436574192,10.0,-28.0
