Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,66.25870342445536,-2.0,5.0
6.0,10.87652037614571,1.0,11.0
12.0,73.30148969676708,-1.0,7.0
18.0,124.45782084983887,-1.0,4.0
24.0,125.73568981538973,-1.0,6.0
30.0,176.56643447978425,0.0,0.0
36.0,231.55733532238875,-1.0,2.0
42.0,226.89451346050578,-2.0,-2.0
48.0,238.58061559070944,0.0,7.0
54.0,271.51215577200526,2.0,4.0
60.0,215.352059965151,-1.0,2.0
66.0,161.36094366178597,1.0,-3.0
72.0,224.6285900759265,3.0,-8.0
78.0,317.67084436015557,8.0,-17.0
84.0,424.5174732797179,17.0,-34.0
90.0,524.2104877337003,17.0,-31.0
96.0,606.178454622831,16.0,-27.0
102.0,679.0002259823963,17.0,-36.0
