Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,77.01247725746808,-2.0,5.0
6.0,24.43385558779421,0.0,7.0
12.0,79.3170864825085,-1.0,-1.0
18.0,113.58883326802291,-1.0,1.0
24.0,15.541563532782524,0.0,3.0
30.0,93.18692619587347,0.0,-5.0
36.0,21.624550343598845,-2.0,5.0
42.0,75.52445267377107,0.0,1.0
48.0,147.97805402279678,-2.0,1.0
54.0,193.35539685641402,-1.0,6.0
60.0,124.15063331369964,-2.0,6.0
66.0,84.07737043528641,-1.0,-2.0
72.0,176.98866882952387,-1.0,-2.0
78.0,221.20633959905385,4.0,-10.0
84.0,258.1819555787782,9.0,-18.0
90.0,318.2041809821929,10.0,-20.0
96.0,301.8872156422951,4.0,-4.0
102.0,294.2275837625214,1.0,-9.0
