Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,66.25870342445536,-2.0,5.0
6.0,10.87652037614571,1.0,11.0
12.0,73.30148969676708,-1.0,7.0
18.0,148.1902999313828,-1.0,6.0
24.0,24.74905730723792,-1.0,10.0
30.0,24.34377981928906,0.0,4.0
36.0,64.35062694720484,1.0,0.0
42.0,58.32842585325472,0.0,6.0
48.0,88.71713122684925,-3.0,7.0
54.0,120.41055653243875,0.0,7.0
60.0,84.11032314574938,-3.0,0.0
66.0,45.720716266906024,-2.0,-2.0
72.0,94.37585800876171,-2.0,-1.0
78.0,106.7934617097246,0.0,-4.0
84.0,113.71933276379636,3.0,-12.0
90.0,140.405401700996,6.0,-14.0
96.0,130.37301744928104,1.0,-10.0
102.0,121.97559461742942,0.0,-9.0
