Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,77.01247725746808,-2.0,5.0
6.0,24.43385558779421,0.0,7.0
12.0,79.3170864825085,-1.0,-1.0
18.0,130.86907688068754,0.0,2.0
24.0,79.2068635778917,-1.0,1.0
30.0,56.64462616868289,-1.0,-6.0
36.0,21.62455034359747,-1.0,4.0
42.0,21.5784222629257,0.0,2.0
48.0,67.57686000621473,0.0,5.0
54.0,144.55360884144847,0.0,1.0
60.0,236.63272517617753,-1.0,0.0
66.0,251.27188215893776,0.0,-4.0
72.0,319.942489444622,1.0,-7.0
78.0,385.4347514973962,5.0,-13.0
84.0,480.8018531295603,13.0,-29.0
90.0,565.6525780823627,14.0,-31.0
96.0,572.6807489001867,5.0,-24.0
102.0,565.0512596936211,10.0,-28.0
