Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,66.25870342445536,-2.0,5.0
6.0,10.87652037614571,1.0,11.0
12.0,73.30148969676708,-1.0,7.0
18.0,131.90824808455272,-1.0,6.0
24.0,91.57518992089248,-2.0,6.0
30.0,112.2976630462076,0.0,7.0
36.0,85.38589546547549,0.0,6.0
42.0,79.42761891842848,1.0,6.0
48.0,30.898389114644857,-4.0,5.0
54.0,91.48863703622345,0.0,6.0
60.0,167.76064037142797,-3.0,3.0
66.0,201.1546301333377,-1.0,-3.0
72.0,250.81883181979254,-6.0,10.0
78.0,260.85437594570897,0.0,-6.0
84.0,295.9882518532756,6.0,-16.0
90.0,340.6459993478521,4.0,-13.0
96.0,349.04960826124386,1.0,-15.0
102.0,379.2383240180207,1.0,-18.0
