Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,77.01247725746808,-2.0,5.0
6.0,24.43385558779421,0.0,7.0
12.0,79.3170864825085,-1.0,-1.0
18.0,141.23532629491382,-2.0,3.0
24.0,39.42600540181182,-1.0,2.0
30.0,21.660267280472418,-5.0,-3.0
36.0,46.514584328476495,-1.0,4.0
42.0,11.119508372419276,-1.0,2.0
48.0,67.57686000621473,-2.0,8.0
54.0,144.94920892113186,-2.0,8.0
60.0,202.08924996301508,-5.0,8.0
66.0,246.03872967214264,-7.0,2.0
72.0,367.127993935715,-3.0,-3.0
78.0,421.16610929885286,0.0,-12.0
84.0,472.5027325784979,3.0,-16.0
90.0,530.2626526992099,5.0,-18.0
96.0,541.5772652257709,-1.0,-16.0
102.0,554.5391773395827,-2.0,-16.0
