Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,77.01247725746808,-2.0,5.0
6.0,24.43385558779421,0.0,7.0
12.0,79.3170864825085,-1.0,-1.0
18.0,120.00033563386397,0.0,3.0
24.0,34.41967375914523,-4.0,6.0
30.0,24.737834686787046,-2.0,5.0
36.0,63.55367742605169,-3.0,-1.0
42.0,97.7583730997305,0.0,-1.0
48.0,102.35999466745938,-2.0,4.0
54.0,91.48863703622281,-2.0,9.0
60.0,228.19805922068764,-2.0,2.0
66.0,319.52361375342855,-1.0,-3.0
72.0,527.5072863136255,1.0,-13.0
78.0,613.1870858440084,7.0,-20.0
84.0,658.1600076771938,15.0,-32.0
90.0,578.62214109174,18.0,-28.0
96.0,550.4968280377187,14.0,-22.0
102.0,646.9930596597325,12.0,-32.0
