Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,66.25870342445536,-2.0,5.0
6.0,10.87652037614571,1.0,11.0
12.0,58.754038705467195,-1.0,4.0
18.0,125.76975854656001,-1.0,3.0
24.0,186.97595522086058,0.0,5.0
30.0,150.93707620675943,0.0,-5.0
36.0,89.61289771317456,1.0,-3.0
42.0,64.35062694720504,0.0,-2.0
48.0,164.71566766907773,0.0,1.0
54.0,168.16162163968002,0.0,9.0
60.0,259.08429160460537,0.0,-2.0
66.0,315.42652842704416,1.0,-7.0
72.0,412.80638625175067,2.0,-10.0
78.0,403.75642033154617,5.0,-12.0
