Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,11.119508372419453,8.0,-34.0
6.0,11.1195083724191,7.0,-29.0
12.0,24.630524672881755,6.0,-20.0
18.0,10.551034622441156,6.0,-20.0
24.0,21.014733538130766,10.0,-25.0
30.0,41.769055576717946,10.0,-24.0
36.0,62.410030765966724,12.0,-26.0
42.0,63.12553161461818,9.0,-20.0
48.0,72.27007949102398,9.0,-18.0
54.0,75.37066478851318,8.0,-22.0
60.0,75.12181304848338,6.0,-19.0
66.0,91.9139021957887,2.0,-9.0
72.0,101.58155034559854,0.0,-6.0
78.0,101.59117863512698,-1.0,-17.0
