Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,11.119508372419453,8.0,-34.0
6.0,11.1195083724191,7.0,-29.0
12.0,24.630524672881755,8.0,-25.0
18.0,33.540714390403686,9.0,-20.0
24.0,66.81557605336032,15.0,-32.0
30.0,84.30124347198924,14.0,-33.0
36.0,83.92573608189338,13.0,-26.0
42.0,93.80527481754163,11.0,-26.0
48.0,118.25038646162227,14.0,-25.0
54.0,114.01517890204715,11.0,-30.0
60.0,128.55812604378588,8.0,-19.0
66.0,136.42425476631627,3.0,-13.0
72.0,158.87849540964322,-2.0,-9.0
78.0,164.73020711473615,-5.0,-6.0
