Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,11.119508372419453,8.0,-34.0
6.0,11.1195083724191,7.0,-29.0
12.0,24.630524672881755,8.0,-27.0
18.0,30.64885439395415,8.0,-20.0
24.0,62.192273218504404,15.0,-27.0
30.0,84.30124347198924,13.0,-32.0
36.0,93.61497934037149,12.0,-27.0
42.0,93.17581892073169,9.0,-13.0
48.0,103.80406315872541,12.0,-20.0
54.0,102.65961287658642,12.0,-27.0
60.0,116.51339285320172,11.0,-22.0
66.0,139.29035261691314,4.0,-17.0
72.0,147.67517832807033,0.0,-16.0
78.0,166.69065859141776,-6.0,-9.0
