Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,11.119508372419453,8.0,-34.0
6.0,11.1195083724191,7.0,-29.0
12.0,24.630524672881755,7.0,-26.0
18.0,30.64885439395415,6.0,-14.0
24.0,57.02055491450059,11.0,-27.0
30.0,84.30124347198924,10.0,-26.0
36.0,83.21333740386885,10.0,-20.0
42.0,93.8685580030254,9.0,-17.0
48.0,103.80406315872541,12.0,-22.0
54.0,98.38530332419202,10.0,-25.0
60.0,102.35659604072526,9.0,-25.0
66.0,130.1991431611808,4.0,-13.0
72.0,148.7947870583671,0.0,-11.0
78.0,142.3670273111498,0.0,-14.0
