Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,11.119508372419453,8.0,-34.0
6.0,11.1195083724191,7.0,-29.0
12.0,45.719339098696445,7.0,-23.0
18.0,39.4627521854783,8.0,-22.0
24.0,62.192273218504404,12.0,-25.0
30.0,94.66556642663595,10.0,-28.0
36.0,96.28012426268894,8.0,-23.0
42.0,94.10949436461398,5.0,-16.0
48.0,85.5914606560778,4.0,-11.0
54.0,72.0665160492852,1.0,-13.0
60.0,72.6370199274466,-1.0,-7.0
66.0,92.54971673537021,-4.0,-5.0
72.0,102.14903692185285,-8.0,-5.0
78.0,113.23926788762802,-10.0,-3.0
