Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,11.119508372419453,8.0,-34.0
6.0,11.1195083724191,7.0,-29.0
12.0,45.719339098696445,7.0,-24.0
18.0,45.70951158338163,8.0,-20.0
24.0,69.65758582603068,12.0,-28.0
30.0,41.769055576717946,9.0,-23.0
36.0,63.413092117811885,9.0,-22.0
42.0,66.01810818982004,7.0,-17.0
48.0,75.66246912358814,9.0,-14.0
54.0,62.78576749471609,8.0,-19.0
60.0,72.6888284761206,6.0,-14.0
66.0,104.5946324218072,2.0,-8.0
72.0,126.51623215851626,-2.0,-7.0
78.0,133.30095727672202,-3.0,-14.0
