Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,11.119508372419453,8.0,-34.0
6.0,11.1195083724191,7.0,-29.0
12.0,24.630524672881755,6.0,-20.0
18.0,15.326547255748494,6.0,-22.0
24.0,15.296450370223852,10.0,-22.0
30.0,41.769055576717946,9.0,-23.0
36.0,62.410030765966724,9.0,-24.0
42.0,66.01810818982004,7.0,-16.0
48.0,75.66246912358814,9.0,-15.0
54.0,61.77131402209144,6.0,-19.0
60.0,61.54897817484558,5.0,-14.0
66.0,82.48486112523713,3.0,-10.0
72.0,114.01613490504143,0.0,-9.0
78.0,113.41421516089117,-1.0,-16.0
