Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,7.701739204333007e-13,-1.0,-24.0
6.0,10.7305088961821,11.0,-25.0
12.0,11.119508372419451,14.0,-35.0
18.0,35.025027097801825,19.0,-42.0
24.0,39.5702938529006,16.0,-40.0
30.0,38.802367740082275,15.0,-32.0
36.0,38.699508990600755,11.0,-25.0
42.0,24.59901694071773,13.0,-27.0
48.0,44.47803348967645,12.0,-26.0
54.0,33.35852511725726,13.0,-28.0
60.0,55.59754186209534,9.0,-14.0
66.0,39.2434112610342,13.0,-22.0
72.0,11.119508372419098,9.0,-23.0
78.0,10.258169815685473,9.0,-17.0
