Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,7.701739204333007e-13,-1.0,-24.0
6.0,10.7305088961821,11.0,-25.0
12.0,11.119508372419451,14.0,-35.0
18.0,35.025027097801825,19.0,-42.0
24.0,39.5702938529006,16.0,-40.0
30.0,77.45433259947677,24.0,-40.0
36.0,42.20413048403509,28.0,-47.0
42.0,31.522098165271036,35.0,-52.0
48.0,85.64377791183722,34.0,-51.0
54.0,141.74710625860416,32.0,-42.0
60.0,176.49444121418236,29.0,-41.0
66.0,217.1108654957437,31.0,-44.0
72.0,211.12400605986616,26.0,-39.0
78.0,216.11093905619117,24.0,-40.0
