Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,7.701739204333007e-13,-1.0,-24.0
6.0,10.7305088961821,11.0,-25.0
12.0,15.432979436508523,14.0,-35.0
18.0,24.667333028433323,20.0,-43.0
24.0,15.38759105785573,16.0,-42.0
30.0,24.630524672881467,18.0,-32.0
36.0,33.358525117257614,14.0,-24.0
42.0,53.62879573450331,17.0,-28.0
48.0,62.65356458131143,16.0,-28.0
54.0,73.63208197379255,14.0,-24.0
60.0,85.81127528908381,11.0,-19.0
66.0,95.60577150882534,12.0,-19.0
72.0,72.94463740815134,8.0,-23.0
78.0,61.54897817484558,6.0,-13.0
