Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,7.701739204333007e-13,-1.0,-24.0
6.0,10.7305088961821,11.0,-25.0
12.0,11.119508372419451,14.0,-35.0
18.0,35.025027097801825,19.0,-42.0
24.0,39.5702938529006,16.0,-40.0
30.0,71.82769536528926,22.0,-37.0
36.0,42.20413048403509,23.0,-38.0
42.0,30.605961915562297,30.0,-50.0
48.0,100.00677084892105,30.0,-36.0
54.0,144.56108512711498,31.0,-51.0
60.0,184.33076999159448,28.0,-43.0
66.0,204.87438286930038,27.0,-37.0
72.0,212.03870329857432,25.0,-34.0
78.0,227.48677443697733,22.0,-39.0
