Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,7.701739204333007e-13,-1.0,-24.0
6.0,10.7305088961821,11.0,-25.0
12.0,15.432979436508523,14.0,-35.0
18.0,24.667333028433323,20.0,-43.0
24.0,15.38759105785573,16.0,-42.0
30.0,23.92175448549297,17.0,-31.0
36.0,24.612364306870514,13.0,-26.0
42.0,45.87617235458994,14.0,-23.0
48.0,52.21131242700557,12.0,-23.0
54.0,72.81168754910988,12.0,-22.0
60.0,75.85285410670318,8.0,-16.0
66.0,85.5914606560778,12.0,-18.0
72.0,62.74246613061717,12.0,-25.0
78.0,62.5232000218339,7.0,-12.0
