Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,7.701739204333007e-13,-1.0,-24.0
6.0,10.7305088961821,11.0,-25.0
12.0,11.119508372419451,14.0,-35.0
18.0,35.025027097801825,19.0,-42.0
24.0,39.5702938529006,16.0,-40.0
30.0,49.276217176946595,16.0,-31.0
36.0,34.990118818660605,15.0,-25.0
42.0,61.229182233883485,19.0,-30.0
48.0,115.2524754771306,17.0,-26.0
54.0,130.3077580223126,17.0,-30.0
60.0,147.88939568110425,14.0,-22.0
66.0,151.97620565835896,13.0,-20.0
72.0,128.63453851346134,10.0,-20.0
78.0,128.39789998242637,7.0,-13.0
