Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,7.701739204333007e-13,-1.0,-24.0
6.0,10.7305088961821,11.0,-25.0
12.0,11.119508372419451,14.0,-35.0
18.0,35.025027097801825,19.0,-42.0
24.0,39.5702938529006,16.0,-40.0
30.0,39.52713609973774,23.0,-33.0
36.0,22.23901674483808,21.0,-35.0
42.0,45.91542649992265,24.0,-40.0
48.0,91.60531509065626,21.0,-37.0
54.0,98.86097019503026,21.0,-34.0
60.0,108.5937329978709,17.0,-30.0
66.0,99.68225644799067,18.0,-25.0
72.0,76.1892367430403,17.0,-31.0
78.0,61.23134840128124,11.0,-21.0
