Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,7.701739204333007e-13,-1.0,-24.0
6.0,10.7305088961821,11.0,-25.0
12.0,15.432979436508523,14.0,-35.0
18.0,24.667333028433323,20.0,-43.0
24.0,15.38759105785573,16.0,-42.0
30.0,24.635599481185654,22.0,-37.0
36.0,21.10206844431162,21.0,-31.0
42.0,53.68509891094162,27.0,-45.0
48.0,73.09581110038305,27.0,-46.0
54.0,93.61497934037149,28.0,-48.0
60.0,83.59409960478911,24.0,-37.0
66.0,103.80406315872541,26.0,-38.0
72.0,84.59903680817824,22.0,-44.0
78.0,75.57886782713949,19.0,-37.0
