Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,7.701739204333007e-13,-1.0,-24.0
6.0,10.7305088961821,11.0,-25.0
12.0,15.432979436508523,14.0,-35.0
18.0,24.667333028433323,20.0,-43.0
24.0,15.38759105785573,16.0,-42.0
30.0,10.593127192597473,15.0,-28.0
36.0,3.536620440947047e-13,13.0,-28.0
42.0,33.434797198551315,16.0,-29.0
48.0,68.63844983868678,15.0,-29.0
54.0,76.70410239738352,15.0,-27.0
60.0,76.02456808114837,12.0,-22.0
66.0,84.94562603487299,13.0,-19.0
72.0,70.26097693367305,14.0,-27.0
78.0,70.0666159645445,12.0,-25.0
