Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,7.701739204333007e-13,-1.0,-24.0
6.0,10.7305088961821,11.0,-25.0
12.0,15.432979436508523,14.0,-35.0
18.0,24.667333028433323,20.0,-43.0
24.0,15.38759105785573,16.0,-42.0
30.0,30.72343435508164,18.0,-31.0
36.0,47.72654987375936,18.0,-34.0
42.0,30.605961915562297,23.0,-44.0
48.0,34.957689556004595,20.0,-37.0
54.0,34.94566025619557,22.0,-45.0
60.0,45.60045133660093,19.0,-32.0
66.0,10.324305744952001,20.0,-29.0
72.0,39.18989708930841,16.0,-28.0
78.0,39.150805479712616,18.0,-33.0
