Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,7.701739204333007e-13,-1.0,-24.0
6.0,10.7305088961821,11.0,-25.0
12.0,15.432979436508523,14.0,-35.0
18.0,24.667333028433323,20.0,-43.0
24.0,15.38759105785573,16.0,-42.0
30.0,30.72343435508164,11.0,-30.0
36.0,47.72654987375936,9.0,-22.0
42.0,23.7808525330868,15.0,-33.0
48.0,49.14841143400143,14.0,-31.0
54.0,39.32458579920384,13.0,-28.0
60.0,54.272998562054404,10.0,-23.0
66.0,23.458597213466387,11.0,-20.0
72.0,38.0412388662389,10.0,-19.0
78.0,32.71117859531326,9.0,-23.0
