Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,7.701739204333007e-13,-1.0,-24.0
6.0,10.7305088961821,11.0,-25.0
12.0,15.432979436508523,14.0,-35.0
18.0,24.667333028433323,20.0,-43.0
24.0,15.38759105785573,16.0,-42.0
30.0,30.72343435508164,14.0,-30.0
36.0,23.857888506530347,13.0,-26.0
42.0,6.683851276773998e-13,16.0,-33.0
48.0,33.35852511725726,15.0,-33.0
54.0,24.554246735239115,14.0,-28.0
60.0,22.239016744837727,11.0,-22.0
66.0,10.324305744952001,13.0,-20.0
72.0,33.358525117257614,10.0,-18.0
78.0,45.64226651944122,9.0,-18.0
