Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,7.701739204333007e-13,-1.0,-24.0
6.0,10.7305088961821,11.0,-25.0
12.0,15.432979436508523,14.0,-35.0
18.0,24.667333028433323,20.0,-43.0
24.0,15.38759105785573,16.0,-42.0
30.0,30.72343435508164,17.0,-33.0
36.0,43.65620733123703,17.0,-31.0
42.0,23.7808525330868,21.0,-37.0
48.0,34.957689556004595,19.0,-39.0
54.0,39.32458579920384,20.0,-36.0
60.0,60.81014364264629,19.0,-34.0
66.0,41.29721213639295,21.0,-28.0
72.0,67.97420449809873,20.0,-37.0
78.0,45.362741908804296,21.0,-31.0
