Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,7.701739204333007e-13,-1.0,-24.0
6.0,10.7305088961821,11.0,-25.0
12.0,15.432979436508523,14.0,-35.0
18.0,24.667333028433323,20.0,-43.0
24.0,15.38759105785573,16.0,-42.0
30.0,10.593127192597473,-6.0,-14.0
36.0,33.540714390403686,4.0,-19.0
42.0,66.81557605336032,16.0,-41.0
48.0,93.98028347566688,18.0,-43.0
54.0,94.24234225926598,19.0,-39.0
60.0,79.71125848870864,18.0,-38.0
66.0,113.3432047671526,20.0,-38.0
72.0,150.25184844068949,19.0,-34.0
78.0,177.66739780558714,15.0,-40.0
