Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,7.701739204333007e-13,-1.0,-24.0
6.0,10.7305088961821,11.0,-25.0
12.0,15.432979436508523,14.0,-35.0
18.0,24.667333028433323,20.0,-43.0
24.0,15.38759105785573,16.0,-42.0
30.0,0.0,16.0,-31.0
36.0,38.66943444285909,15.0,-29.0
42.0,71.27493395261332,21.0,-42.0
48.0,96.5170922768794,20.0,-40.0
54.0,122.61761184720707,19.0,-40.0
60.0,126.5519439514655,18.0,-35.0
66.0,160.70229742151375,19.0,-33.0
72.0,158.41916481556785,15.0,-38.0
78.0,171.28044580921596,13.0,-34.0
