Forecast_Hour,Track_Error (km),MSLP_Error (hPa),MWS_Error (Knot)
0.0,7.701739204333007e-13,-1.0,-24.0
6.0,10.7305088961821,11.0,-25.0
12.0,15.432979436508523,14.0,-35.0
18.0,24.667333028433323,20.0,-43.0
24.0,15.38759105785573,16.0,-42.0
30.0,30.72343435508164,13.0,-30.0
36.0,33.558053278015215,11.0,-19.0
42.0,15.300811926031468,15.0,-31.0
48.0,34.957689556004595,14.0,-32.0
54.0,22.239016744838434,14.0,-30.0
60.0,24.53369589913252,12.0,-20.0
66.0,10.324305744952001,15.0,-28.0
72.0,24.50334911175508,13.0,-28.0
78.0,33.358525117257614,12.0,-26.0
